貸借対照表（投資運用業）,,,,,,,,,,,,,,,,,,,,,,
科目分類,標準ラベル（日本語）,冗長ラベル（日本語）,用途別ラベル（日本語）,業種ラベル（日本語）,連結,四半期個別,四半期連結,中間個別,中間連結,標準ラベル（英語）,用途別ラベル（英語）,業種ラベル（英語）,名前空間プレフィックス,要素名,type,enumerations,substitutionGroup,periodType,balance,abstract,nillable,depth
科目分類,標準ラベル（日本語）,冗長ラベル（日本語）,用途別ラベル（日本語）,業種ラベル（日本語）,連結,四半期個別,四半期連結,中間個別,中間連結,標準ラベル（英語）,用途別ラベル（英語）,業種ラベル（英語）,名前空間プレフィックス,要素名,type,enumerations,substitutionGroup,periodType,balance,abstract,nillable,depth
-,損益計算書,損益（及び包括利益）計算書、タイトル項目,,,連結損益（及び包括利益）計算書[標準],四半期損益計算書[標準],四半期連結損益（及び包括利益）計算書[標準],中間損益計算書[標準],中間連結損益（及び包括利益）計算書[標準],Statements of income,,,jpfr-t-cte,StatementsOfIncomeAbstract,xbrli:stringItemType,,xbrli:item,duration,,true,true,0
A,営業収益,営業収益、タイトル項目、投資運用業,,,,,,,,Operating revenue,,,jpfr-t-ivt,OperatingRevenueAbstractIVT,xbrli:stringItemType,,xbrli:item,duration,,true,true,1
A,委託者報酬,委託者報酬、営業収益、投資運用業,,,,,,,,Investment trust management fee,,,jpfr-t-ivt,InvestmentTrustManagementFeeORIVT,xbrli:monetaryItemType,,xbrli:item,duration,credit,false,true,2
A,運用受託報酬,運用受託報酬、営業収益、投資運用業,,,,,,,,Management fee,,,jpfr-t-ivt,ManagementFeeORIVT,xbrli:monetaryItemType,,xbrli:item,duration,credit,false,true,2
B,投資顧問料,投資顧問料、営業収益、投資運用業,,,,,,,,Investment advisory fee,,,jpfr-t-ivt,InvestmentAdvisoryFeeORIVT,xbrli:monetaryItemType,,xbrli:item,duration,credit,false,true,2
A,その他営業収益,その他営業収益、営業収益、投資運用業,,,,,,,,Other operating revenue,,,jpfr-t-ivt,OtherOperatingRevenueORIVT,xbrli:monetaryItemType,,xbrli:item,duration,credit,false,true,2
A,営業収益,営業収益、投資運用業,営業収益計[合計],,,,,,,Operating revenue,Total operating revenue[合計],,jpfr-t-ivt,OperatingRevenueIVT,xbrli:monetaryItemType,,xbrli:item,duration,credit,false,true,2
A,営業費用,営業費用、タイトル項目、投資運用業,,,,,,,,Operating expenses,,,jpfr-t-ivt,OperatingExpensesAbstractIVT,xbrli:stringItemType,,xbrli:item,duration,,true,true,1
A,支払手数料,支払手数料、営業費用、投資運用業,,,,,,,,Commission fee,,,jpfr-t-ivt,CommissionFeeOEIVT,xbrli:monetaryItemType,,xbrli:item,duration,debit,false,true,2
